Valor ,ISIN,UBS Long Name,Issuer Name,Asset Class,Instrument Category,Sub-Asset Class ,Instrument Ccy
115344461,KYG8062L1041,Reg.shs SenseTime Group Inc. Unitary 144A/Reg S(0020),SenseTime Group Inc.,Equities,Direct investments,Common stock,USD
118053836,US6475812060,Sponsored American Deposit Receipt New Orient Edu & Te (repr 10 Shs) (N1UA),New Oriental Education & Technology Group Inc,Equities,Direct investments,Common stock,USD
126391974,US68989M2026,Reg.shs Ouster Inc. (OUST),Ouster Inc,Equities,Direct investments,Common stock,USD
128499088,US46438F1012,IShares Bitcoin Trust iShares Bitcoin Trust ETF Shs Benef Int,IShares Bitcoin Trust,Liquidity,Pooled vehicles,Crypto,USD
138624448,US86800U3023,Reg.shs Super Micro Computer Inc. (SMCI),Super Micro Computer Inc,Equities,Direct investments,Common stock,USD
1058002,HK0992009065,Reg.shs Lenovo Group Ltd (992),Lenovo  Group Ltd,Equities,Direct investments,Common stock,HKD
143591152,CNE100006V65,Reg.shs-H China Tower Corporation Limited (788),China Tower Corporation Limited,Equities,Direct investments,Common stock,CNY
2011708,CNE1000004Y2,Shs -H- ZTE Corp. (763),ZTE Corporation,Equities,Direct investments,Common stock,CNY
10774335,KYG7800X1079,Shs Sands China Ltd Unitary 144A/Reg S (1928),Sands China Ltd,Equities,Direct investments,Common stock,USD
941595,US4581401001,Reg.shs Intel Corp.     (INTC),Intel Corp,Equities,Direct investments,Common stock,USD
724641,US8740391003,Sponsored American Deposit Receipt Taiwan Semicon. Manuf.Co Ltd (Repr. 5 shs)     (TSM),Taiwan Semiconductor Manufacturing Co Ltd,Equities,Direct investments,Common stock,TWD
140294813,LU2926063467,CVC Private Equity Strategies Funds S.A. SICAV-Global Private Equity I-EUR-capitalisation,CVC Private Equity Strategies Funds S.A. SICAV - CVC-PE Global Private Equity,HF&PM,Pooled vehicles,Private markets,EUR
139830473,US3899302075,Grayscale Bitcoin Mini Trust ETF New,Grayscale Bitcoin Mini Trust ETF,Liquidity,Pooled vehicles,Crypto,USD
139830476,US38964R2031,Grayscale Ethereum Mini Trust ETF New,Grayscale Ethereum Mini Trust ETF,Liquidity,Pooled vehicles,Crypto,USD
461641,US6701002056,Sponsored American Deposit Receipt Novo Nordisk A/S (Repr. 1 shs -B-)     (NVO),Novo Nordisk A/S,Equities,Direct investments,Common stock,DKK
119807931,LU2490080954,BlackRock Global Funds SICAV - Systematic Eq High Income Fd D6-distribution,BlackRock Global Funds SICAV - Systematic Global Equity High Income Fund,Equities,Pooled vehicles,Common stock,USD
140765584,XS2931092733,23.38% Autocall Barrier RCN BARC 2025-28.07.2025 Palantir Tchnl-A Rg/Nvidia,Barclays Bank PLC,Equities,Struct.prod.&wts,Common stock,USD
105239580,QT1052395808,"Accumulator UBS AG, SG Br. (SG) 2025-20.01.2026 (ff 16.01.26) OXY (USD 46.0352/54.81)","UBS AG, Singapore Branch",Equities,OTC ACCU & DEC,Common stock,USD
140937675,XS2963811448,11.76% Autocallable RCN GSI 2025-07.05.2025 Occid.Petrol,Goldman Sachs International,Equities,Struct.prod.&wts,Common stock,USD
142886873,XS2987773632,Citi Glob. Mrkt (LU) 2025-20.06.2025 Occid.Petrol,Citigroup Global Markets Funding Luxembourg S.C.A.,Equities,Struct.prod.&wts,Common stock,USD
140974171,XD1409741711,Apollo Debt Solutions BDC iCapital Offshore Access Fund SPC SP 3 I-B-series 08/2024-acc,Apollo Debt Solutions BDC iCapital Offshore Access Fund SPC,HF&PM,Pooled vehicles,Private markets,SGD
142535605,CH1425356057,"5% SGD DCN UBS AG, Jersey (JE) 2025-16.05.2025 (ff 14.05.25) USD/SGD (SGD 1.3063)","UBS AG, Jersey Branch",Liquidity,Struct.prod.&wts,FX Investments,SGD
137531080,US912810UD80,4.125% US Treasury Bonds 2024-15.08.2044,United States of America,Bonds,Direct investments,Straight bonds,USD
940052,LU0088277610,JPMorgan Liquidity Funds SICAV -USD Standard Money Market VNAV Fd C-acc.,JPMorgan Liquidity Funds SICAV - USD Standard Money Market VNAV Fund,Liquidity,Pooled vehicles,MM investments,USD
1512295,LU0157308031,AB FCP I FCP - American Income Portfolio AT,AB FCP I FCP - American Income Portfolio,Bonds,Pooled vehicles,Straight bonds,USD
26182170,LU1128926489,JPMorgan Funds SICAV- Income JPM A(mth)-USD-dist,JPMorgan Funds SICAV - Income Fund,Bonds,Pooled vehicles,Others,USD
141620161,XS2979686297,5.375% EMTN Rizal Commercial Banking Corp. 2025-29.01.2030,Rizal Commercial Banking Corp.,Bonds,Direct investments,Straight bonds,USD
3433492,KYG126521064,Reg.shs Bosideng International Holdings Ltd   (3998),Bosideng International Holdings Ltd,Equities,Direct investments,Common stock,USD
56518458,US4824971042,Sponsored American Deposit Shares KE Holdings Inc. (Repr 3 Shs -A-) (BEKE),KE Holdings Inc,Equities,Direct investments,Common stock,USD
136202340,BMG0133U1229,Reg.shs Aidigong Maternal & Child Health Ltd (286),Aidigong Maternal & Child Health Limited,Equities,Direct investments,Common stock,HKD
138733941,LU2912353955,S64 AltoFlex VI Private Markets SICAV -Hg Fusion Pvt. Capital Fd F2 EUR-S. January 2025-acc,S64 AltoFlex VI Private Markets SICAV - Hg Fusion Private Capital Fund,HF&PM,Pooled vehicles,Private markets,EUR
